publication_id,keyword_id,raw_form,canonical_form
SP029,SK006,Synthetic Keyword 06,Synthetic Keyword 06
SP029,SK012,Synthetic Keyword 12,Synthetic Keyword 12
SP030,SK002,Synthetic Term 02,Synthetic Keyword 02
SP030,SK004,Synthetic Term 04,Synthetic Keyword 04
SP030,SK008,Synthetic Keyword 08,Synthetic Keyword 08
SP031,SK003,Synthetic Keyword 03,Synthetic Keyword 03
SP031,SK007,Synthetic Keyword 07,Synthetic Keyword 07
SP031,SK015,Synthetic Keyword 15,Synthetic Keyword 15
SP032,SK004,Synthetic Term 04,Synthetic Keyword 04
SP032,SK010,Synthetic Keyword 10,Synthetic Keyword 10
SP032,SK022,Synthetic Keyword 22,Synthetic Keyword 22
SP033,SK005,Synthetic Keyword 05,Synthetic Keyword 05
SP033,SK013,Synthetic Keyword 13,Synthetic Keyword 13
SP033,SK029,Synthetic Keyword 29,Synthetic Keyword 29
SP034,SK004,Synthetic Term 04,Synthetic Keyword 04
SP034,SK011,Synthetic Keyword 11,Synthetic Keyword 11
SP034,SK017,Synthetic Keyword 17,Synthetic Keyword 17
SP035,SK007,Synthetic Keyword 07,Synthetic Keyword 07
SP035,SK019,Synthetic Keyword 19,Synthetic Keyword 19
SP035,SK013,Synthetic Keyword 13,Synthetic Keyword 13
SP036,SK008,Synthetic Keyword 08,Synthetic Keyword 08
SP036,SK022,Synthetic Keyword 22,Synthetic Keyword 22
SP036,SK020,Synthetic Keyword 20,Synthetic Keyword 20
SP037,SK009,Synthetic Keyword 09,Synthetic Keyword 09
SP037,SK025,Synthetic Keyword 25,Synthetic Keyword 25
SP037,SK027,Synthetic Keyword 27,Synthetic Keyword 27
SP038,SK010,Synthetic Keyword 10,Synthetic Keyword 10
SP038,SK028,Synthetic Keyword 28,Synthetic Keyword 28
SP038,SK004,Synthetic Term 04,Synthetic Keyword 04
SP039,SK009,Synthetic Keyword 09,Synthetic Keyword 09
SP039,SK016,Synthetic Keyword 16,Synthetic Keyword 16
SP039,SK022,Synthetic Keyword 22,Synthetic Keyword 22
SP040,SK012,Synthetic Keyword 12,Synthetic Keyword 12
SP040,SK004,Synthetic Term 04,Synthetic Keyword 04
SP040,SK018,Synthetic Keyword 18,Synthetic Keyword 18
SP041,SK013,Synthetic Keyword 13,Synthetic Keyword 13
SP041,SK007,Synthetic Keyword 07,Synthetic Keyword 07
SP041,SK025,Synthetic Keyword 25,Synthetic Keyword 25
SP042,SK014,Synthetic Keyword 14,Synthetic Keyword 14
SP042,SK010,Synthetic Keyword 10,Synthetic Keyword 10
SP042,SK002,Synthetic Term 02,Synthetic Keyword 02
SP043,SK015,Synthetic Keyword 15,Synthetic Keyword 15
SP043,SK013,Synthetic Keyword 13,Synthetic Keyword 13
SP043,SK009,Synthetic Keyword 09,Synthetic Keyword 09
SP044,SK014,Synthetic Keyword 14,Synthetic Keyword 14
SP044,SK021,Synthetic Keyword 21,Synthetic Keyword 21
SP044,SK027,Synthetic Keyword 27,Synthetic Keyword 27
SP045,SK017,Synthetic Keyword 17,Synthetic Keyword 17
SP045,SK019,Synthetic Keyword 19,Synthetic Keyword 19
SP045,SK023,Synthetic Keyword 23,Synthetic Keyword 23
SP046,SK018,Synthetic Keyword 18,Synthetic Keyword 18
SP046,SK022,Synthetic Keyword 22,Synthetic Keyword 22
SP046,SK030,Synthetic Keyword 30,Synthetic Keyword 30
SP047,SK019,Synthetic Keyword 19,Synthetic Keyword 19
SP047,SK025,Synthetic Keyword 25,Synthetic Keyword 25
SP047,SK007,Synthetic Keyword 07,Synthetic Keyword 07
SP048,SK020,Synthetic Keyword 20,Synthetic Keyword 20
SP048,SK028,Synthetic Keyword 28,Synthetic Keyword 28
SP048,SK014,Synthetic Keyword 14,Synthetic Keyword 14
SP049,SK019,Synthetic Keyword 19,Synthetic Keyword 19
SP049,SK026,Synthetic Keyword 26,Synthetic Keyword 26
SP049,SK002,Synthetic Keyword 02,Synthetic Keyword 02
SP050,SK022,Synthetic Keyword 22,Synthetic Keyword 22
SP050,SK004,Synthetic Term 04,Synthetic Keyword 04
SP050,SK028,Synthetic Keyword 28,Synthetic Keyword 28
SP051,SK023,Synthetic Keyword 23,Synthetic Keyword 23
SP051,SK007,Synthetic Keyword 07,Synthetic Keyword 07
SP051,SK005,Synthetic Keyword 05,Synthetic Keyword 05
SP052,SK024,Synthetic Keyword 24,Synthetic Keyword 24
SP052,SK010,Synthetic Keyword 10,Synthetic Keyword 10
SP052,SK012,Synthetic Keyword 12,Synthetic Keyword 12
SP053,SK025,Synthetic Keyword 25,Synthetic Keyword 25
SP053,SK013,Synthetic Keyword 13,Synthetic Keyword 13
SP053,SK019,Synthetic Keyword 19,Synthetic Keyword 19
SP054,SK024,Synthetic Keyword 24,Synthetic Keyword 24
SP054,SK001,Synthetic Term 01,Synthetic Keyword 01
SP054,SK007,Synthetic Keyword 07,Synthetic Keyword 07
SP055,SK027,Synthetic Keyword 27,Synthetic Keyword 27
SP055,SK019,Synthetic Keyword 19,Synthetic Keyword 19
SP055,SK003,Synthetic Keyword 03,Synthetic Keyword 03
SP056,SK028,Synthetic Keyword 28,Synthetic Keyword 28
SP056,SK022,Synthetic Keyword 22,Synthetic Keyword 22
SP056,SK010,Synthetic Keyword 10,Synthetic Keyword 10
SP057,SK029,Synthetic Keyword 29,Synthetic Keyword 29
SP057,SK025,Synthetic Keyword 25,Synthetic Keyword 25
SP057,SK017,Synthetic Keyword 17,Synthetic Keyword 17
SP058,SK030,Synthetic Keyword 30,Synthetic Keyword 30
SP058,SK028,Synthetic Keyword 28,Synthetic Keyword 28
SP058,SK024,Synthetic Keyword 24,Synthetic Keyword 24
SP059,SK029,Synthetic Keyword 29,Synthetic Keyword 29
SP059,SK006,Synthetic Keyword 06,Synthetic Keyword 06
SP059,SK012,Synthetic Keyword 12,Synthetic Keyword 12
SP060,SK002,Synthetic Term 02,Synthetic Keyword 02
SP060,SK004,Synthetic Term 04,Synthetic Keyword 04
SP060,SK008,Synthetic Keyword 08,Synthetic Keyword 08
